trace,sets,ways,block_bytes,capacity_bytes,write_alloc,write_policy,eviction,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_accesses,load_miss_rate,store_miss_rate,overall_miss_rate,total_cycles,cycles_per_access
traces/gcc.trace,32,4,32,4096,no-write-allocate,write-through,fifo,318197,197486,307806,10391,164677,32809,515683,0.03265587041989711,0.16613329552474607,0.08377239505665302,28577083,55.415988116730624
traces/gcc.trace,32,4,32,4096,no-write-allocate,write-through,lru,318197,197486,309647,8550,167477,30009,515683,0.026870146481582164,0.1519550752964767,0.07477268011549731,27104283,52.55996998155844
traces/gcc.trace,32,4,32,4096,write-allocate,write-back,fifo,318197,197486,309693,8504,191425,6061,515683,0.026725581950804062,0.03069078314412161,0.028244095694447947,18717283,36.29610245053647
traces/gcc.trace,32,4,32,4096,write-allocate,write-back,lru,318197,197486,311538,6659,191860,5626,515683,0.020927287183725805,0.028488095358658334,0.023822774844235704,16016483,31.058776418846463
traces/gcc.trace,32,4,32,4096,write-allocate,write-through,fifo,318197,197486,309693,8504,191425,6061,515683,0.026725581950804062,0.03069078314412161,0.028244095694447947,31916283,61.89128398648007
traces/gcc.trace,32,4,32,4096,write-allocate,write-through,lru,318197,197486,311538,6659,191860,5626,515683,0.020927287183725805,0.028488095358658334,0.023822774844235704,30092283,58.35422730631027
traces/gcc.trace,16,8,32,4096,no-write-allocate,write-through,fifo,318197,197486,309303,8894,165710,31776,515683,0.027951237755227107,0.16090254499053097,0.07886628025356662,27379483,53.093631164882304
traces/gcc.trace,16,8,32,4096,no-write-allocate,write-through,lru,318197,197486,311244,6953,168155,29331,515683,0.02185124309782933,0.14852192054120292,0.07036105514434256,25826683,50.08247896479038
traces/gcc.trace,16,8,32,4096,write-allocate,write-back,fifo,318197,197486,311166,7031,191672,5814,515683,0.02209637425871394,0.02944006157398499,0.024908713298673796,16903683,32.77921319880625
traces/gcc.trace,16,8,32,4096,write-allocate,write-back,lru,318197,197486,313163,5034,192077,5409,515683,0.01582038799862978,0.027389283290967462,0.02025081299945897,14158083,27.455012090761183
traces/gcc.trace,16,8,32,4096,write-allocate,write-through,fifo,318197,197486,311166,7031,191672,5814,515683,0.02209637425871394,0.02944006157398499,0.024908713298673796,30540283,59.22297806986075
traces/gcc.trace,16,8,32,4096,write-allocate,write-through,lru,318197,197486,313163,5034,192077,5409,515683,0.01582038799862978,0.027389283290967462,0.02025081299945897,28618683,55.496657830488886
traces/gcc.trace,8,16,32,4096,no-write-allocate,write-through,fifo,318197,197486,309590,8607,165563,31923,515683,0.02704928079145938,0.16164690155251513,0.07859479563995711,27149883,52.64839639856268
traces/gcc.trace,8,16,32,4096,no-write-allocate,write-through,lru,318197,197486,311662,6535,168245,29241,515683,0.020537591492063093,0.1480661920338657,0.06937595383210228,25492283,49.434018573425924
traces/gcc.trace,8,16,32,4096,write-allocate,write-back,fifo,318197,197486,311456,6741,191669,5817,515683,0.021184989173373726,0.029455252524229567,0.024352169840774273,16566083,32.12454744484499
traces/gcc.trace,8,16,32,4096,write-allocate,write-back,lru,318197,197486,313591,4606,192119,5367,515683,0.014475309320955258,0.02717660998754342,0.01933940036805557,13607683,26.387689724113457
